fid,dim,seed,S_min,stall,eta,err,feeds,cfg
9,10,2051,0.02,5,0.2,359.0943447803602,10,S0.02_st5_e0.2
9,10,2052,0.02,5,0.2,359.094344780362,3,S0.02_st5_e0.2
9,10,2053,0.02,5,0.2,359.0943447803702,7,S0.02_st5_e0.2
9,10,2054,0.02,5,0.2,359.09434478035973,12,S0.02_st5_e0.2
9,10,2055,0.02,5,0.2,9.094947017729282e-13,7,S0.02_st5_e0.2
10,10,2026,0.02,5,0.2,222.67133532583512,0,S0.02_st5_e0.2
10,10,2027,0.02,5,0.2,221.1220572825241,6,S0.02_st5_e0.2
10,10,2028,0.02,5,0.2,221.19639984216792,0,S0.02_st5_e0.2
10,10,2029,0.02,5,0.2,222.47387661441644,3,S0.02_st5_e0.2
10,10,2030,0.02,5,0.2,221.5249104443801,16,S0.02_st5_e0.2
10,10,2031,0.02,5,0.2,220.8726497489797,15,S0.02_st5_e0.2
10,10,2032,0.02,5,0.2,323.2275405833575,1,S0.02_st5_e0.2
10,10,2033,0.02,5,0.2,220.87264974898062,9,S0.02_st5_e0.2
10,10,2034,0.02,5,0.2,328.4050652336118,1,S0.02_st5_e0.2
10,10,2035,0.02,5,0.2,222.06272805543722,0,S0.02_st5_e0.2
10,10,2036,0.02,5,0.2,222.0800427205645,0,S0.02_st5_e0.2
10,10,2037,0.02,5,0.2,223.00042445622512,0,S0.02_st5_e0.2
10,10,2038,0.02,5,0.2,228.09995222259886,0,S0.02_st5_e0.2
10,10,2039,0.02,5,0.2,330.24657654652765,0,S0.02_st5_e0.2
10,10,2040,0.02,5,0.2,223.45837526833748,9,S0.02_st5_e0.2
10,10,2041,0.02,5,0.2,222.19799087282763,0,S0.02_st5_e0.2
10,10,2042,0.02,5,0.2,222.1516506522962,14,S0.02_st5_e0.2
10,10,2043,0.02,5,0.2,223.45837526833793,8,S0.02_st5_e0.2
10,10,2044,0.02,5,0.2,314.4966649211419,0,S0.02_st5_e0.2
10,10,2045,0.02,5,0.2,222.19906244747017,0,S0.02_st5_e0.2
10,10,2046,0.02,5,0.2,314.97262767925577,0,S0.02_st5_e0.2
10,10,2047,0.02,5,0.2,220.87264974898108,4,S0.02_st5_e0.2
10,10,2048,0.02,5,0.2,222.17440007749474,4,S0.02_st5_e0.2
10,10,2049,0.02,5,0.2,220.5502231448595,0,S0.02_st5_e0.2
10,10,2050,0.02,5,0.2,325.25723003539315,1,S0.02_st5_e0.2
10,10,2051,0.02,5,0.2,220.8726497489797,6,S0.02_st5_e0.2
10,10,2052,0.02,5,0.2,223.002041722586,0,S0.02_st5_e0.2
10,10,2053,0.02,5,0.2,319.04186531308824,1,S0.02_st5_e0.2
10,10,2054,0.02,5,0.2,220.55763393797088,0,S0.02_st5_e0.2
10,10,2055,0.02,5,0.2,220.8726497489797,11,S0.02_st5_e0.2
11,10,2026,0.02,5,0.2,879.1472314071807,0,S0.02_st5_e0.2
11,10,2027,0.02,5,0.2,876.4586466789642,0,S0.02_st5_e0.2
11,10,2028,0.02,5,0.2,1.8189894035458565e-12,1,S0.02_st5_e0.2
11,10,2029,0.02,5,0.2,1.3642420526593924e-12,6,S0.02_st5_e0.2
11,10,2030,0.02,5,0.2,2.7284841053187847e-12,8,S0.02_st5_e0.2
11,10,2031,0.02,5,0.2,3.183231456205249e-12,9,S0.02_st5_e0.2
11,10,2032,0.02,5,0.2,876.9248252571206,13,S0.02_st5_e0.2
11,10,2033,0.02,5,0.2,9.094947017729282e-13,7,S0.02_st5_e0.2
11,10,2034,0.02,5,0.2,876.9932879874245,0,S0.02_st5_e0.2
11,10,2035,0.02,5,0.2,9.094947017729282e-13,8,S0.02_st5_e0.2
11,10,2036,0.02,5,0.2,9.094947017729282e-13,6,S0.02_st5_e0.2
11,10,2037,0.02,5,0.2,3.183231456205249e-12,5,S0.02_st5_e0.2
11,10,2038,0.02,5,0.2,876.9932866788695,1,S0.02_st5_e0.2
11,10,2039,0.02,5,0.2,876.0688983265491,6,S0.02_st5_e0.2
11,10,2040,0.02,5,0.2,9.094947017729282e-13,8,S0.02_st5_e0.2
11,10,2041,0.02,5,0.2,2.2737367544323206e-12,10,S0.02_st5_e0.2
11,10,2042,0.02,5,0.2,9.094947017729282e-13,8,S0.02_st5_e0.2
11,10,2043,0.02,5,0.2,4.547473508864641e-13,8,S0.02_st5_e0.2
11,10,2044,0.02,5,0.2,1.8189894035458565e-12,8,S0.02_st5_e0.2
11,10,2045,0.02,5,0.2,3.183231456205249e-12,8,S0.02_st5_e0.2
11,10,2046,0.02,5,0.2,876.4588025706807,0,S0.02_st5_e0.2
11,10,2047,0.02,5,0.2,1.3642420526593924e-12,6,S0.02_st5_e0.2
11,10,2048,0.02,5,0.2,9.094947017729282e-13,8,S0.02_st5_e0.2
11,10,2049,0.02,5,0.2,2.7284841053187847e-12,9,S0.02_st5_e0.2
11,10,2050,0.02,5,0.2,1.3642420526593924e-12,2,S0.02_st5_e0.2
11,10,2051,0.02,5,0.2,876.4586772386001,1,S0.02_st5_e0.2
11,10,2052,0.02,5,0.2,1.8189894035458565e-12,9,S0.02_st5_e0.2
11,10,2053,0.02,5,0.2,1.8189894035458565e-12,1,S0.02_st5_e0.2
11,10,2054,0.02,5,0.2,4.547473508864641e-13,7,S0.02_st5_e0.2
11,10,2055,0.02,5,0.2,1.3642420526593924e-12,9,S0.02_st5_e0.2
12,10,2026,0.02,5,0.2,164.49831848947815,0,S0.02_st5_e0.2
12,10,2027,0.02,5,0.2,165.42968510864057,0,S0.02_st5_e0.2
12,10,2028,0.02,5,0.2,171.64250189416998,0,S0.02_st5_e0.2
12,10,2029,0.02,5,0.2,167.48019076708397,0,S0.02_st5_e0.2
12,10,2030,0.02,5,0.2,169.89146511989202,0,S0.02_st5_e0.2
12,10,2031,0.02,5,0.2,172.89509770009317,0,S0.02_st5_e0.2
12,10,2032,0.02,5,0.2,171.79444011090027,0,S0.02_st5_e0.2
12,10,2033,0.02,5,0.2,165.84343570134388,0,S0.02_st5_e0.2
12,10,2034,0.02,5,0.2,164.8993407756907,0,S0.02_st5_e0.2
12,10,2035,0.02,5,0.2,166.40919372926146,0,S0.02_st5_e0.2
