problem,seed,f,viol,nfe,x,c1_selected,c2_selected,c1_accepted,c2_accepted,iters,c1_sel_share,c1_acc_share,c1_acc_rate
classical_F1_d10,1026,4.27679319949464e-194,0.0,14970,"[1.0182284531610724e-98, 1.447984330236259e-102, 3.0393359240706e-102, 1.0696962539891977e-107, -1.1799574334774637e-102, 1.6407466277888795e-97, -1.2547413318262614e-97, -2.470898728474562e-114, -9.189650956526818e-116, 3.4317177919523206e-106]",3237,1743,3035,1738,166,0.65,0.635868426566101,0.9375965400061785
classical_F1_d10,1027,2.394921591415918e-197,0.0,14970,"[-3.48658931221654e-104, 2.8358735525015385e-109, 8.95151249933287e-111, -1.038668279531492e-115, 1.1226698599162772e-100, -4.782000345428357e-99, 1.7557584507524246e-108, -1.0339655374565597e-99, 2.6529440137826102e-121, 2.17978160821834e-104]",3195,1785,3016,1774,166,0.641566265060241,0.6296450939457202,0.9439749608763693
classical_F1_d10,1028,1.2449242608229687e-206,0.0,14970,"[-7.183122118011155e-107, -1.3573002667216058e-104, -8.208980066432007e-104, 9.30121538893383e-119, 2.844780255954551e-104, 8.862029636817682e-107, -2.1796050790540251e-113, 1.6432746748909166e-106, -6.868015249293575e-104, -1.1033027524028776e-112]",3222,1758,3000,1755,166,0.6469879518072289,0.6309148264984227,0.931098696461825
classical_F1_d10,1029,2.0277928792909924e-184,0.0,14970,"[8.641014230616155e-112, 2.768752929218717e-108, 1.2465834829178697e-97, 1.4236201960844013e-92, -1.5474486143858615e-104, -1.5622998726402157e-110, -6.044108974410343e-103, 2.6034473465830583e-104, 3.7378505447023245e-104, -3.3142366182970905e-94]",3216,1764,3002,1754,166,0.6457831325301204,0.6312026913372581,0.9334577114427861
cec2022_F1_d10,1000,300.00000000018974,0.0,14970,"[-55.93832589037784, 4.543062748902223, 35.30007217293264, 8.27944453866127, -47.43693676757831, 7.302097403553988, 6.3876703211517425, -2.497827843250678, -61.05354902811599, -47.13399244453773]",98,4882,33,3779,166,0.01967871485943775,0.008656873032528857,0.336734693877551
cec2022_F1_d10,1001,300.00000000740954,0.0,14970,"[-55.9383187029374, 4.543073026156038, 35.30007477778371, 8.279511392888557, -47.43693046909177, 7.302115622747633, 6.387635817644435, -2.497823566445592, -61.05355597580615, -47.13402304380074]",117,4863,44,3740,166,0.023493975903614458,0.011627906976744186,0.37606837606837606
cec2022_F1_d10,1002,300.0000000000524,0.0,14970,"[-55.93833111495228, 4.543063621676786, 35.3000736568882, 8.279439154304857, -47.43694120289519, 7.30210023599247, 6.387665351610013, -2.497829245595818, -61.05355474603049, -47.133997092152825]",129,4851,39,3766,166,0.025903614457831327,0.010249671484888305,0.3023255813953488
cec2022_F1_d10,1003,300.0000000285983,0.0,14970,"[-55.938303229104434, 4.5430897090622535, 35.30011967498277, 8.279425714095346, -47.43695835006093, 7.30212649841389, 6.387733724659153, -2.4978628660404287, -61.05343802726218, -47.1339453033242]",85,4895,40,3694,166,0.01706827309236948,0.010712372790573112,0.47058823529411764
cec2022_F1_d10,1004,300.00000000010965,0.0,14970,"[-55.93832975106522, 4.5430645783373516, 35.30006825119552, 8.279438303630327, -47.43694615801537, 7.302099584292942, 6.387673121580898, -2.4978303110874447, -61.05356117373876, -47.133993427157755]",94,4886,30,3760,166,0.01887550200803213,0.0079155672823219,0.3191489361702128
cec2022_F1_d10,1005,300.00000000024363,0.0,14970,"[-55.938326033007215, 4.543068263316844, 35.30007276897861, 8.279444470163241, -47.43693635432581, 7.30210521264954, 6.387672816397329, -2.4978355408930097, -61.053549491862434, -47.1339975150224]",106,4874,38,3730,166,0.021285140562248995,0.010084925690021231,0.3584905660377358
