function,dim,variant,seed,err,nfe,feeds,c1_acc,c2_acc
F22022,10,EAO+M1,1008,8.916102695572874,14970,0,30,2819
F22022,10,EAO+M1,1009,6.209068110184035,14970,0,40,1385
F22022,10,EAO+M1,1010,8.91610266901938,14970,0,34,2630
F22022,10,EAO+M1,1011,5.959012580003048,14970,0,33,2785
F22022,10,EAO+M1,1012,6.157399547654904,14970,0,35,3772
F22022,10,EAO+M1,1013,8.916101929635545,14970,0,27,3524
F22022,10,EAO+M1,1014,4.009247966589214,14970,0,22,1338
F22022,10,EAO+M1,1015,0.13687535728507783,14970,0,40,2690
F22022,10,EAO+M1,1016,4.020863834573959,14970,0,32,2750
F22022,10,EAO+M1,1017,4.468942855203522,14970,0,34,1771
F22022,10,EAO+M1,1018,8.916604413669006,14970,0,37,1427
F22022,10,EAO+M1,1019,0.06814432564556228,14970,0,29,3393
F22022,10,EAO+M1,1020,5.1445519946941545,14970,0,28,1199
F22022,10,EAO+M1,1021,5.075627668879747,14970,0,32,1703
F22022,10,EAO+M1,1022,0.00013488468590594493,14970,0,21,2198
F22022,10,EAO+M1,1023,8.916101930423565,14970,0,31,3459
F22022,10,EAO+M1,1024,8.91610781389494,14970,0,29,2245
F22022,10,EAO+M1,1025,4.866870742336573,14970,0,32,1889
F22022,10,EAO+M1,1026,3.9886380239406662,14970,0,28,2900
F22022,10,EAO+M1,1027,4.698976546997301,14970,0,23,1500
F22022,10,EAO+M1,1028,0.10763526035248105,14970,0,36,2371
F22022,10,EAO+M1,1029,8.916101932066397,14970,0,37,2558
F22022,10,KE-EAO,1000,4.367069784731029,14970,0,154,2668
F22022,10,KE-EAO,1001,3.988328660252421,14970,0,2257,2173
F22022,10,KE-EAO,1002,8.916101927781426,14982,2,670,2223
F22022,10,KE-EAO,1003,8.9161024437268,14970,0,161,2111
F22022,10,KE-EAO,1004,3.986796864595817,14970,0,1923,2231
F22022,10,KE-EAO,1005,3.987791662161669,14970,0,2451,2069
F22022,10,KE-EAO,1006,3.986712264261371,14970,0,2167,2327
