t,AF,S,fed,variant
337,0.6019763669813516,0.06611947824705526,0,KE-EAO
338,0.6019937696268612,0.06611467600733448,0,KE-EAO
339,0.6019785725907898,0.06611886959633952,0,KE-EAO
340,0.602032529571737,0.06610398124356534,0,KE-EAO
341,0.6021231558754752,0.06607898072712715,0,KE-EAO
342,0.6021250536769629,0.06607845727284667,0,KE-EAO
343,0.6021353455669165,0.06607561860672534,0,KE-EAO
344,0.602128638940689,0.06607746838935893,0,KE-EAO
345,0.6021206013690343,0.06607968531990302,0,KE-EAO
346,0.6021123808777709,0.06608195276472825,0,KE-EAO
347,0.6021356186013159,0.06607554330083847,0,KE-EAO
348,0.6027103653402492,0.06591717307457758,0,KE-EAO
349,0.602714323443042,0.06591608347507648,0,KE-EAO
350,0.6027080002966001,0.06591782413837009,0,KE-EAO
351,0.6038585654345945,0.06560169172731768,0,KE-EAO
352,0.6038582298288226,0.06560178376362823,0,KE-EAO
353,0.6038766620434994,0.06559672907643618,0,KE-EAO
354,0.6048611441796243,0.06532720106468473,0,KE-EAO
355,0.6048550277201379,0.06532887289856389,0,KE-EAO
356,0.6048583011097544,0.0653279781669964,0,KE-EAO
357,0.6048464707230352,0.06533121187011261,0,KE-EAO
358,0.6048548792041248,0.06532891349340057,0,KE-EAO
359,0.6046113319692032,0.06539551065690849,0,KE-EAO
360,0.6046153674829879,0.06539440672224348,0,KE-EAO
361,0.6046243660093672,0.06539194518411245,0,KE-EAO
362,0.60463151135483,0.06538999063400562,0,KE-EAO
363,0.6046440233350261,0.06538656819665808,0,KE-EAO
364,0.6096891971717171,0.06401799550310108,0,KE-EAO
365,0.6097045857440755,0.0640138557888019,0,KE-EAO
366,0.6097169816460846,0.06401052129141101,0,KE-EAO
367,0.6097178585047988,0.06401028542156924,0,KE-EAO
368,0.6097189259607887,0.06400999828309584,0,KE-EAO
369,0.609727429053216,0.06400771104439221,0,KE-EAO
370,0.609726023649914,0.06400808907808228,0,KE-EAO
371,0.6097238838651968,0.06400866465337428,0,KE-EAO
372,0.6097190082835728,0.064009976138863,0,KE-EAO
373,0.6097201876247842,0.06400965890527315,0,KE-EAO
374,0.6318941305387518,0.05825435807536335,0,KE-EAO
375,0.6319063100258286,0.05825130784959655,0,KE-EAO
376,0.631912539250876,0.058249747850467874,0,KE-EAO
377,0.6319116337712771,0.05824997460989203,0,KE-EAO
378,0.6319058625261367,0.05825141991915583,0,KE-EAO
379,0.6319020919839724,0.05825236420096613,0,KE-EAO
380,0.6319030250572585,0.05825213052420303,0,KE-EAO
381,0.6319045801923788,0.058251741061214855,0,KE-EAO
382,0.631897362046781,0.058253548766352865,0,KE-EAO
383,0.6360112496927176,0.057229923288800305,0,KE-EAO
384,0.6360112496927176,0.057229923288800305,0,KE-EAO
385,0.6360114737553121,0.057229867897748414,0,KE-EAO
386,0.6360111101272825,0.05722995779112628,0,KE-EAO
387,0.6360083029310781,0.05723065176845124,0,KE-EAO
388,0.6360060011209963,0.05723122081198038,0,KE-EAO
389,0.6360697309318424,0.057215467325414084,0,KE-EAO
390,0.636074185506488,0.05721436630913236,0,KE-EAO
391,0.6360715357736594,0.057215021229285366,0,KE-EAO
392,0.6360691032458053,0.05721562246886178,0,KE-EAO
393,0.6360680954391045,0.057215871566338845,0,KE-EAO
394,0.6360536621634858,0.05721943909552849,0,KE-EAO
395,0.6360513420021676,0.057220012593982086,0,KE-EAO
396,0.6360375405086911,0.05722342413943341,0,KE-EAO
