alg,fid,dim,seed,f,err,nfe
EAO,10,10,2031,2620.8726679179013,220.87266791790125,15030
EAO,10,10,2032,2622.151650655616,222.15165065561587,15030
EAO,10,10,2033,2714.972627680851,314.972627680851,15030
EAO,10,10,2034,2622.1353488569052,222.13534885690524,15030
EAO,10,10,2035,2622.47387735105,222.47387735104985,15030
EAO,10,10,2036,2623.404301172029,223.40430117202914,15030
EAO,10,10,2037,2622.4738766146925,222.47387661469247,15030
EAO,10,10,2038,2623.7332364311424,223.73323643114236,15030
EAO,10,10,2039,2736.8468375410566,336.84683754105663,15030
EAO,10,10,2040,2729.7925553985206,329.79255539852056,15030
EAO,10,10,2041,2626.353629091578,226.3536290915781,15030
EAO,10,10,2042,2623.4583752683384,223.4583752683384,15030
EAO,10,10,2043,2623.458375268341,223.45837526834111,15030
EAO,10,10,2044,2623.1403204204476,223.14032042044755,15030
EAO,10,10,2045,2622.6880769314375,222.68807693143754,15030
EAO,10,10,2046,2622.4738766144296,222.47387661442963,15030
EAO,10,10,2047,2621.1220572974944,221.1220572974944,15030
EAO,10,10,2048,2622.4026294480477,222.40262944804772,15030
EAO,10,10,2049,2623.458375271657,223.45837527165713,15030
EAO,10,10,2050,2720.6709494175348,320.67094941753476,15030
EAO,10,10,2051,2620.9612745010513,220.96127450105132,15030
EAO,10,10,2052,2622.1516506526546,222.15165065265455,15030
EAO,10,10,2053,2628.386467067407,228.386467067407,15030
EAO,10,10,2054,2622.47387661696,222.47387661695984,15030
EAO,10,10,2055,2622.6732563029677,222.67325630296773,15030
EAO,11,10,2026,2600.00000233563,2.335630142624723e-06,15030
EAO,11,10,2027,2600.007858391727,0.007858391727040726,15030
EAO,11,10,2028,2600.000343937966,0.00034393796613585437,15030
EAO,11,10,2029,2600.0000000510377,5.103765943204053e-08,15030
EAO,11,10,2030,2600.000000028531,2.853084879461676e-08,15030
EAO,11,10,2031,2600.000058095078,5.8095078202313744e-05,15030
EAO,11,10,2032,2600.000000404871,4.048711161885876e-07,15030
EAO,11,10,2033,2600.0000181868236,1.818682358134538e-05,15030
EAO,11,10,2034,2600.0000004307803,4.307803465053439e-07,15030
EAO,11,10,2035,2600.000004227389,4.227389126754133e-06,15030
EAO,11,10,2036,2600.0000022841896,2.284189577039797e-06,15030
EAO,11,10,2037,2600.000047122197,4.712219697466935e-05,15030
EAO,11,10,2038,2600.000001706659,1.7066590771719348e-06,15030
EAO,11,10,2039,2600.0000178034443,1.7803444279707037e-05,15030
EAO,11,10,2040,2600.0001700251755,0.0001700251755210047,15030
EAO,11,10,2041,2600.0000245350307,2.453503066135454e-05,15030
EAO,11,10,2042,2600.0000002325437,2.3254369807546027e-07,15030
EAO,11,10,2043,2600.0000669307724,6.69307723910606e-05,15030
EAO,11,10,2044,2600.0000040341492,4.03414924221579e-06,15030
EAO,11,10,2045,2600.0000300008205,3.0000820515851956e-05,15030
EAO,11,10,2046,2600.000004617499,4.617499143932946e-06,15030
EAO,11,10,2047,2600.0000094525753,9.452575341128977e-06,15030
EAO,11,10,2048,2600.0000005864854,5.864853847015183e-07,15030
EAO,11,10,2049,2600.0000028851036,2.885103640437592e-06,15030
EAO,11,10,2050,2600.000013387076,1.3387075796345016e-05,15030
EAO,11,10,2051,2600.0000028051586,2.8051586014044005e-06,15030
EAO,11,10,2052,2600.0001853028857,0.0001853028857112804,15030
EAO,11,10,2053,2600.000002168717,2.1687169464712497e-06,15030
EAO,11,10,2054,2600.0000075526405,7.552640454377979e-06,15030
EAO,11,10,2055,2600.000012689349,1.2689349205174949e-05,15030
EAO,12,10,2026,2866.4504690827034,166.45046908270342,15030
EAO,12,10,2027,2864.9002351941303,164.90023519413035,15030
EAO,12,10,2028,2866.376074313234,166.37607431323386,15030
EAO,12,10,2029,2864.8978939883505,164.89789398835046,15030
EAO,12,10,2030,2866.220211103231,166.22021110323112,15030
EAO,12,10,2031,2868.5870503211363,168.5870503211363,15030
EAO,12,10,2032,2865.935807670246,165.93580767024605,15030
EAO,12,10,2033,2867.480557014261,167.4805570142612,15030
EAO,12,10,2034,2866.3747571138156,166.37475711381558,15030
EAO,12,10,2035,2864.9040671952166,164.9040671952166,15030
EAO,12,10,2036,2863.774397051844,163.77439705184406,15030
EAO,12,10,2037,2863.7696245887864,163.76962458878643,15030
EAO,12,10,2038,2866.991194459005,166.99119445900487,15030
EAO,12,10,2039,2866.763463394103,166.76346339410293,15030
EAO,12,10,2040,2866.3767178920693,166.37671789206934,15030
EAO,12,10,2041,2864.5652284210632,164.56522842106324,15030
