problem,seed,f,viol,nfe,x,c1_selected,c2_selected,c1_accepted,c2_accepted,iters
spring,1018,0.012665243122303712,0.0,45030,"[0.05171286898177647, 0.3572907654483722, 11.255449942400967]",48,14952,40,3835,500
spring,1019,0.012665260631632282,0.0,45030,"[0.051650004700779205, 0.35577887275733383, 11.344221611002245]",57,14943,51,5680,500
spring,1020,0.012665233131706756,0.0,45030,"[0.0516847231642178, 0.356613389853139, 11.29508608718362]",52,14948,37,4347,500
spring,1021,0.012665310200994978,0.0,45030,"[0.051754238972889915, 0.3582877738898197, 11.197509665577178]",49,14951,42,3693,500
spring,1022,0.012665234820841097,0.0,45030,"[0.051699618417032744, 0.3569717746261458, 11.27408800588917]",44,14956,39,4385,500
spring,1023,0.01266524967321015,0.0,45030,"[0.05165864331785283, 0.3559864092602275, 11.331970528136564]",54,14946,44,6115,500
spring,1024,0.01266525278623224,0.0,45030,"[0.05172210001749399, 0.35751308826111183, 11.24248888822304]",50,14950,35,3464,500
spring,1025,0.01266523278833114,0.0,45030,"[0.051689086413285595, 0.3567183491854948, 11.288930025296171]",59,14941,51,2911,500
spring,1026,0.012699995424483447,0.0,45030,"[0.0530851280988646, 0.39124219523771975, 9.51892997300643]",75,14925,49,9864,500
spring,1027,0.012665415989995332,0.0,45030,"[0.05158893251297801, 0.354313684605108, 11.431312361955529]",59,14941,52,4190,500
spring,1028,0.012665241396384412,0.0,45030,"[0.051710763701851147, 0.35724007190300966, 11.258408630693463]",52,14948,49,3390,500
spring,1029,0.012665240507149792,0.0,45030,"[0.05166849683158685, 0.3562232194728961, 11.31801693738231]",57,14943,49,5650,500
vessel_relaxed,1000,5885.332773616458,0.0,45030,"[12.450698262001689, 6.154386602046432, 40.31961872409873, 199.99999999999977]",5,14995,0,4118,500
vessel_relaxed,1001,5885.332773616458,0.0,45030,"[12.45069826200169, 6.154386602046435, 40.31961872409874, 199.99999999999972]",5,14995,1,3994,500
vessel_relaxed,1002,5885.332773616458,0.0,45030,"[12.450698262001689, 6.15438660204643, 40.31961872409873, 199.99999999999983]",1,14999,1,4434,500
vessel_relaxed,1003,5885.332773616458,0.0,45030,"[12.450698262001689, 6.154386602046434, 40.31961872409873, 199.9999999999998]",8,14992,1,4243,500
vessel_relaxed,1004,5885.332773616458,0.0,45030,"[12.450698262001689, 6.1543866020464355, 40.31961872409873, 199.99999999999977]",7,14993,2,4108,500
vessel_relaxed,1005,5885.332773616458,0.0,45030,"[12.45069826200169, 6.15438660204643, 40.31961872409873, 199.9999999999998]",10,14990,4,4201,500
vessel_relaxed,1006,5885.332773616458,0.0,45030,"[12.450698262001689, 6.154386602046433, 40.31961872409873, 199.9999999999998]",10,14990,5,3893,500
vessel_relaxed,1007,5885.332773616458,0.0,45030,"[12.45069826200169, 6.154386602046434, 40.31961872409873, 199.99999999999977]",5,14995,1,4281,500
vessel_relaxed,1008,5885.332773616458,0.0,45030,"[12.45069826200169, 6.154386602046433, 40.31961872409873, 199.99999999999977]",5,14995,3,4106,500
vessel_relaxed,1009,5885.332773616458,0.0,45030,"[12.450698262001689, 6.154386602046432, 40.31961872409873, 199.99999999999977]",5,14995,1,3899,500
vessel_relaxed,1010,5885.332773616458,0.0,45030,"[12.45069826200169, 6.154386602046434, 40.31961872409873, 199.99999999999977]",1,14999,1,4159,500
