function,dim,variant,seed,err,nfe,feeds,c1_acc,c2_acc
F32022,10,M1a_Km0.1,1005,1.1368683772161603e-13,,,,
F32022,10,M1a_Km0.1,1006,3.069544618483633e-12,,,,
F32022,10,M1a_Km0.1,1007,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.1,1008,2.8421709430404007e-12,,,,
F32022,10,M1a_Km0.1,1009,6.821210263296962e-13,,,,
F32022,10,M1a_Km0.1,1010,1.1368683772161603e-13,,,,
F32022,10,M1a_Km0.1,1011,7.958078640513122e-13,,,,
F32022,10,M1a_Km0.1,1012,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.1,1013,3.410605131648481e-13,,,,
F32022,10,M1a_Km0.1,1014,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.1,1015,3.410605131648481e-13,,,,
F32022,10,M1a_Km0.1,1016,4.547473508864641e-13,,,,
F32022,10,M1a_Km0.1,1017,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.1,1018,1.1368683772161603e-13,,,,
F32022,10,M1a_Km0.1,1019,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.1,1020,4.547473508864641e-13,,,,
F32022,10,M1a_Km0.1,1021,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.1,1022,7.958078640513122e-13,,,,
F32022,10,M1a_Km0.1,1023,1.1368683772161603e-12,,,,
F32022,10,M1a_Km0.1,1024,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.1,1025,3.410605131648481e-13,,,,
F32022,10,M1a_Km0.1,1026,1.1368683772161603e-13,,,,
F32022,10,M1a_Km0.1,1027,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.1,1028,1.1368683772161603e-13,,,,
F32022,10,M1a_Km0.1,1029,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.3,1000,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.3,1001,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.3,1002,3.410605131648481e-13,,,,
F32022,10,M1a_Km0.3,1003,5.684341886080801e-13,,,,
