function,dim,variant,seed,err,iters,c1_acc,c2_acc
F32022,10,code3|centroid,1012,0.0,166,1168,1164
F32022,10,code3|centroid,1013,1.1368683772161603e-13,166,1187,1169
F32022,10,code3|centroid,1014,0.0,166,1181,1178
F32022,10,code3|centroid,1015,1.1368683772161603e-13,166,1117,1206
F32022,10,code3|centroid,1016,0.0,166,1202,1163
F32022,10,code3|centroid,1017,0.0,166,1230,1175
F32022,10,code3|centroid,1018,1.1368683772161603e-13,166,1224,1136
F32022,10,code3|centroid,1019,0.0,166,1189,1144
F32022,10,code3|centroid,1020,0.0,166,1151,1151
F32022,10,code3|centroid,1021,1.1368683772161603e-13,166,1091,1124
F32022,10,code3|centroid,1022,0.0,166,1132,1174
F32022,10,code3|centroid,1023,0.0,166,1204,1125
F32022,10,code3|centroid,1024,0.0,166,1152,1135
F32022,10,code3|centroid,1025,0.0,166,1226,1150
F32022,10,code3|centroid,1026,0.0,166,1210,1106
F32022,10,code3|centroid,1027,1.1368683772161603e-13,166,1174,1174
F32022,10,code3|centroid,1028,1.1368683772161603e-13,166,1173,1095
F32022,10,code3|centroid,1029,1.1368683772161603e-13,166,1164,1128
F32022,10,paper2|orig,1000,0.0,249,49,2641
F32022,10,paper2|orig,1001,1.1368683772161603e-13,249,29,2690
F32022,10,paper2|orig,1002,0.0,249,28,2571
F32022,10,paper2|orig,1003,0.0,249,40,2631
F32022,10,paper2|orig,1004,0.0,249,46,2646
F32022,10,paper2|orig,1005,0.0,249,35,2573
F32022,10,paper2|orig,1006,0.0,249,29,2615
F32022,10,paper2|orig,1007,0.0,249,42,2625
F32022,10,paper2|orig,1008,0.0,249,40,2598
F32022,10,paper2|orig,1009,0.0,249,32,2647
F32022,10,paper2|orig,1010,0.0,249,26,2634
F32022,10,paper2|orig,1011,0.0,249,39,2671
F32022,10,paper2|orig,1012,1.1368683772161603e-13,249,32,2593
F32022,10,paper2|orig,1013,1.1368683772161603e-13,249,44,2593
F32022,10,paper2|orig,1014,0.0,249,45,2605
F32022,10,paper2|orig,1015,0.0,249,30,2559
F32022,10,paper2|orig,1016,0.0,249,33,2639
F32022,10,paper2|orig,1017,0.0,249,46,2624
