function,dim,variant,seed,err
F32022,10,EAO,1010,1.3642420526593924e-12
F32022,10,EAO,1011,4.547473508864641e-13
F32022,10,EAO,1012,2.2737367544323206e-13
F32022,10,EAO,1013,2.2737367544323206e-13
F32022,10,EAO,1014,1.3642420526593924e-12
F32022,10,EAO,1015,1.1368683772161603e-12
F32022,10,EAO,1016,6.139089236967266e-12
F32022,10,EAO,1017,1.1368683772161603e-13
F32022,10,EAO,1018,1.1368683772161603e-13
F32022,10,EAO,1019,3.183231456205249e-12
F32022,10,EAO,1020,2.2737367544323206e-13
F32022,10,EAO,1021,7.958078640513122e-13
F32022,10,EAO,1022,1.7053025658242404e-12
F32022,10,EAO,1023,1.1368683772161603e-13
F32022,10,EAO,1024,1.1368683772161603e-13
F32022,10,EAO,1025,3.979039320256561e-12
F32022,10,EAO,1026,5.684341886080801e-13
F32022,10,EAO,1027,2.2737367544323206e-13
F32022,10,EAO,1028,2.2737367544323206e-13
F32022,10,EAO,1029,1.0231815394945443e-12
F32022,10,RS-EAO(centroid),1000,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1001,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1002,0.0
F32022,10,RS-EAO(centroid),1003,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1004,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1005,0.0
F32022,10,RS-EAO(centroid),1006,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1007,0.0
F32022,10,RS-EAO(centroid),1008,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1009,0.0
F32022,10,RS-EAO(centroid),1010,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1011,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1012,0.0
F32022,10,RS-EAO(centroid),1013,0.0
F32022,10,RS-EAO(centroid),1014,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1015,0.0
F32022,10,RS-EAO(centroid),1016,0.0
F32022,10,RS-EAO(centroid),1017,0.0
F32022,10,RS-EAO(centroid),1018,0.0
F32022,10,RS-EAO(centroid),1019,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1020,0.0
F32022,10,RS-EAO(centroid),1021,0.0
F32022,10,RS-EAO(centroid),1022,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1023,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1024,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1025,0.0
F32022,10,RS-EAO(centroid),1026,0.0
F32022,10,RS-EAO(centroid),1027,1.1368683772161603e-13
F32022,10,RS-EAO(centroid),1028,0.0
F32022,10,RS-EAO(centroid),1029,0.0
F32022,10,RS-EAO(sched),1000,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1001,0.0
F32022,10,RS-EAO(sched),1002,0.0
F32022,10,RS-EAO(sched),1003,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1004,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1005,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1006,0.0
F32022,10,RS-EAO(sched),1007,0.0
F32022,10,RS-EAO(sched),1008,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1009,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1010,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1011,0.0
F32022,10,RS-EAO(sched),1012,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1013,0.0
F32022,10,RS-EAO(sched),1014,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1015,0.0
F32022,10,RS-EAO(sched),1016,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1017,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1018,0.0
F32022,10,RS-EAO(sched),1019,0.0
F32022,10,RS-EAO(sched),1020,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1021,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1022,0.0
F32022,10,RS-EAO(sched),1023,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1024,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1025,0.0
F32022,10,RS-EAO(sched),1026,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1027,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1028,1.1368683772161603e-13
F32022,10,RS-EAO(sched),1029,1.1368683772161603e-13
F42022,10,EAO,1000,42.58529674753356
F42022,10,EAO,1001,43.890370981337014
F42022,10,EAO,1002,29.556062198136033
F42022,10,EAO,1003,34.50539390267056
F42022,10,EAO,1004,58.19551258688318
F42022,10,EAO,1005,29.62264243741231
F42022,10,EAO,1006,45.06914428318942
F42022,10,EAO,1007,48.91662261859699
F42022,10,EAO,1008,40.966692464607945
F42022,10,EAO,1009,38.94476942576989
F42022,10,EAO,1010,42.739904298934675
F42022,10,EAO,1011,40.703926021138614
F42022,10,EAO,1012,53.710501739896586
F42022,10,EAO,1013,43.454519027772335
F42022,10,EAO,1014,50.74178333834175
