alg,problem,seed,f,viol,nfe,x
SCA,truss,2054,282.84281247461905,0.0,15030,"[1.0, 1e-06]"
SCA,truss,2055,264.5698751426304,0.0,15030,"[0.799304, 0.384927]"
HHO,truss,2026,264.4915141555963,0.0,15029,"[0.818585, 0.329607]"
HHO,truss,2027,264.694726565257,0.0,15029,"[0.823584, 0.317501]"
HHO,truss,2028,264.3286166232705,0.0,15029,"[0.765406, 0.478391]"
HHO,truss,2029,263.89831281853293,0.0,15030,"[0.786851, 0.413433]"
HHO,truss,2030,264.0925641679323,0.0,15029,"[0.772771, 0.4552]"
HHO,truss,2031,264.04444597728445,0.0,15029,"[0.774801, 0.448977]"
HHO,truss,2032,265.29179961094405,0.0,15029,"[0.748256, 0.536529]"
HHO,truss,2033,263.8991552427231,0.0,15029,"[0.790805, 0.402257]"
HHO,truss,2034,263.9950950031423,0.0,15029,"[0.800533, 0.375701]"
HHO,truss,2035,263.90140293152297,0.0,15029,"[0.785938, 0.416047]"
HHO,truss,2036,263.9025931284848,0.0,15029,"[0.791722, 0.399699]"
HHO,truss,2037,264.1771317997633,0.0,15030,"[0.769762, 0.464556]"
HHO,truss,2038,264.0315473435863,0.0,15029,"[0.802588, 0.370254]"
HHO,truss,2039,265.2778536926973,0.0,15029,"[0.835422, 0.28985]"
HHO,truss,2040,264.23901105120046,0.0,15030,"[0.811109, 0.348227]"
HHO,truss,2041,263.94511362841155,0.0,15029,"[0.780602, 0.431575]"
HHO,truss,2042,264.01656994092326,0.0,15029,"[0.80178, 0.372388]"
HHO,truss,2043,264.8491202434409,0.0,15030,"[0.827007, 0.309363]"
HHO,truss,2044,265.3029264455403,0.0,15030,"[0.748108, 0.537061]"
HHO,truss,2045,265.0299591341066,0.0,15030,"[0.751972, 0.523401]"
HHO,truss,2046,264.46585216883847,0.0,15029,"[0.762135, 0.489015]"
HHO,truss,2047,264.2118144566281,0.0,15029,"[0.768671, 0.46799]"
HHO,truss,2048,265.1729014006412,0.0,15030,"[0.833481, 0.294288]"
HHO,truss,2049,263.89587606373703,0.0,15029,"[0.788886, 0.407652]"
HHO,truss,2050,264.2666072389719,0.0,15029,"[0.812028, 0.345904]"
HHO,truss,2051,266.79298828138354,0.0,15029,"[0.732344, 0.596548]"
HHO,truss,2052,265.4434477242621,0.0,15029,"[0.746287, 0.543617]"
HHO,truss,2053,264.7059142344745,0.0,15029,"[0.757328, 0.505013]"
HHO,truss,2054,264.02336802595715,0.0,15029,"[0.802153, 0.371404]"
HHO,truss,2055,264.13733568454603,0.0,15029,"[0.80738, 0.357758]"
EAO,spring,2026,0.012665293963892656,0.0,15030,"[0.051746, 0.358094, 11.208746]"
EAO,spring,2027,0.012665969588163385,0.0,15030,"[0.051489, 0.351934, 11.575044]"
EAO,spring,2028,0.012665297412158903,0.0,15030,"[0.05163, 0.355288, 11.37327]"
EAO,spring,2029,0.012665253301207085,0.0,15030,"[0.051656, 0.355912, 11.336375]"
EAO,spring,2030,0.012665279542170131,0.0,15030,"[0.05174, 0.357937, 11.217825]"
EAO,spring,2031,0.01279285209781977,0.0,15030,"[0.054373, 0.424765, 8.187077]"
EAO,spring,2032,0.012719053710180877,0.0,15030,"[0.05, 0.317425, 14.02777]"
EAO,spring,2033,0.012669233458046544,0.0,15030,"[0.051223, 0.345608, 11.971278]"
EAO,spring,2034,0.01266588324178814,0.0,15030,"[0.051878, 0.361278, 11.026542]"
EAO,spring,2035,0.012671609821464288,0.0,15030,"[0.052283, 0.371183, 10.488688]"
EAO,spring,2036,0.012719053710180877,0.0,15030,"[0.05, 0.317425, 14.02777]"
EAO,spring,2037,0.01266523308103541,0.0,15030,"[0.051685, 0.356623, 11.294529]"
EAO,spring,2038,0.012665232792442931,0.0,15030,"[0.05169, 0.356729, 11.288305]"
EAO,spring,2039,0.012667635867915897,0.0,15030,"[0.052053, 0.36554, 10.789871]"
EAO,spring,2040,0.012719053710180877,0.0,15030,"[0.05, 0.317425, 14.02777]"
EAO,spring,2041,0.012666871644100219,0.0,15030,"[0.051989, 0.363977, 10.875763]"
EAO,spring,2042,0.012719053710180877,0.0,15030,"[0.05, 0.317425, 14.02777]"
EAO,spring,2043,0.012679648105853246,0.0,15030,"[0.052584, 0.378622, 10.111543]"
