t,AF,S,fed,seed,curve,variant
44,0.0998093592309911,0.9019100490222338,0,1003,133550.7391724134,EAO+M1
45,0.09657502351216152,0.9354644126740196,0,1003,133550.7391724134,EAO+M1
46,0.0954578090349969,0.9475832308631532,0,1003,133550.7391724134,EAO+M1
47,0.09552155487338931,0.9468841313622538,0,1003,128060.30875327392,EAO+M1
48,0.09670644819147534,0.9340572099391292,0,1003,128060.30875327392,EAO+M1
49,0.09732468273012362,0.9274885794109894,0,1003,125266.8106883203,EAO+M1
50,0.09778175018467172,0.9226857241881928,0,1003,113535.31913192134,EAO+M1
51,0.09871616358814139,0.9130053312972631,0,1003,86582.93662850984,EAO+M1
52,0.10080511707699158,0.8920131328613335,0,1003,86582.93662850984,EAO+M1
53,0.10219017262715901,0.8785676785658258,0,1003,86582.93662850984,EAO+M1
54,0.103781120631673,0.863566392339388,0,1003,86582.93662850984,EAO+M1
55,0.10245393609006437,0.876048396150371,0,1003,86582.93662850984,EAO+M1
56,0.10392248546550165,0.8622556615353105,0,1003,75307.08198386246,EAO+M1
57,0.10478340416891863,0.8543496013814609,0,1003,75307.08198386246,EAO+M1
58,0.11079557427044995,0.8025631272590527,0,1003,39137.67315927881,EAO+M1
59,0.1127057507704099,0.78726617157014,0,1003,39137.67315927881,EAO+M1
60,0.11127910480538883,0.7986413053455601,0,1003,39137.67315927881,EAO+M1
61,0.11387153343654477,0.778182606153497,0,1003,39137.67315927881,EAO+M1
62,0.11169623404332252,0.7952853321913607,0,1003,39137.67315927881,EAO+M1
63,0.1093529801698967,0.8144698191547642,0,1003,38333.021342006985,EAO+M1
64,0.10882990379532154,0.8188650960132418,0,1003,38333.021342006985,EAO+M1
65,0.1110758781283856,0.8002854776841494,0,1003,38333.021342006985,EAO+M1
66,0.10999179444933738,0.8091587286182548,0,1003,38333.021342006985,EAO+M1
67,0.10543145277545307,0.8484835631827917,0,1003,31734.00735392735,EAO+M1
68,0.10571435246049199,0.8459453486921035,0,1003,31734.00735392735,EAO+M1
69,0.10500905277722694,0.8522988481016635,0,1003,31734.00735392735,EAO+M1
70,0.11036981146652791,0.8060448565713753,0,1003,31734.00735392735,EAO+M1
71,0.11072798617838042,0.80311404958546,0,1003,24893.51677913304,EAO+M1
72,0.11326610676931403,0.7828766420273212,0,1003,24893.51677913304,EAO+M1
73,0.11478647262656139,0.7711827945557077,0,1003,24893.51677913304,EAO+M1
74,0.11723845760696106,0.7529624326451598,0,1003,24893.51677913304,EAO+M1
75,0.11844888468165837,0.7442460245088727,0,1003,24893.51677913304,EAO+M1
76,0.11902270368998924,0.7401758395647234,0,1003,13065.33697833186,EAO+M1
77,0.12190759932505313,0.7202934070858128,0,1003,12011.551043323858,EAO+M1
78,0.1230957195614425,0.7123759327803888,0,1003,12011.551043323858,EAO+M1
79,0.12574806449062947,0.6952408683590657,0,1003,12011.551043323858,EAO+M1
80,0.12287508122226731,0.7138346604150853,0,1003,12011.551043323858,EAO+M1
81,0.1242777260743172,0.7046494183535407,0,1003,12011.551043323858,EAO+M1
82,0.12441710832187525,0.7037479840898841,0,1003,12011.551043323858,EAO+M1
83,0.1262729702933657,0.6919351209342216,0,1003,7460.628863595417,EAO+M1
84,0.12887257809159114,0.6759602661857894,0,1003,7460.628863595417,EAO+M1
85,0.13065390613462813,0.6653808673500982,0,1003,7460.628863595417,EAO+M1
86,0.13322800018727443,0.6505929673899866,0,1003,7460.628863595417,EAO+M1
87,0.13491229054081555,0.6412223126531719,0,1003,7460.628863595417,EAO+M1
88,0.13835950580827372,0.6227548220544463,0,1003,7460.628863595417,EAO+M1
89,0.13712502969812423,0.6292614646658334,0,1003,7460.628863595417,EAO+M1
90,0.14074225815314112,0.610518655251292,0,1003,7460.628863595417,EAO+M1
91,0.1416862158139761,0.6057849588649669,0,1003,7460.628863595417,EAO+M1
92,0.14295912915686648,0.5995006236381852,0,1003,7460.628863595417,EAO+M1
93,0.14369147127169202,0.5959355284971637,0,1003,6857.275828055681,EAO+M1
94,0.14984666759315757,0.5673488413603284,0,1003,6857.275828055681,EAO+M1
95,0.15173584597962209,0.5590400531554677,0,1003,2676.6353817803565,EAO+M1
96,0.1576459879743981,0.5343326670402807,0,1003,1906.9219584591574,EAO+M1
97,0.1590825601665945,0.5286044170729838,0,1003,1906.9219584591574,EAO+M1
98,0.16224797104115052,0.5163405271467911,0,1003,1906.9219584591574,EAO+M1
