alg,fid,dim,seed,f,err,nfe
RS-EAO,6,10,2048,2509.4905123977887,709.4905123977887,15030
RS-EAO,6,10,2049,9348.924598304646,7548.924598304646,15030
RS-EAO,6,10,2050,2059.9433545944175,259.94335459441754,15030
RS-EAO,6,10,2051,3559.666539562352,1759.6665395623522,15030
RS-EAO,6,10,2052,1827.944128637685,27.944128637685026,15030
RS-EAO,6,10,2053,2876.626590168693,1076.626590168693,15030
RS-EAO,6,10,2054,6429.812941965947,4629.812941965947,15030
RS-EAO,6,10,2055,2469.231824344719,669.2318243447189,15030
RS-EAO,7,10,2026,2034.3618296756515,34.36182967565151,15030
RS-EAO,7,10,2027,2039.8112274199566,39.811227419956595,15030
RS-EAO,7,10,2028,2035.0181970559836,35.01819705598359,15030
RS-EAO,7,10,2029,2037.3957856553682,37.39578565536817,15030
RS-EAO,7,10,2030,2034.528922918651,34.528922918651006,15030
RS-EAO,7,10,2031,2028.889723807981,28.889723807981,15030
RS-EAO,7,10,2032,2037.778030806467,37.778030806467086,15030
RS-EAO,7,10,2033,2032.1666418271855,32.16664182718546,15030
RS-EAO,7,10,2034,2044.0924738824315,44.09247388243148,15030
RS-EAO,7,10,2035,2040.8510928845153,40.85109288451531,15030
RS-EAO,7,10,2036,2030.448029472214,30.448029472214102,15030
RS-EAO,7,10,2037,2031.223374570013,31.223374570012993,15030
RS-EAO,7,10,2038,2032.5058112513757,32.50581125137569,15030
RS-EAO,7,10,2039,2032.56549734984,32.565497349839916,15030
RS-EAO,7,10,2040,2033.2371132729274,33.237113272927445,15030
RS-EAO,7,10,2041,2142.7603814501545,142.76038145015445,15030
RS-EAO,7,10,2042,2035.3838474932568,35.38384749325678,15030
RS-EAO,7,10,2043,2029.5628626527678,29.562862652767762,15030
RS-EAO,7,10,2044,2131.0502878583197,131.05028785831973,15030
RS-EAO,7,10,2045,2039.161924156547,39.161924156547,15030
RS-EAO,7,10,2046,2032.8226066217915,32.822606621791465,15030
RS-EAO,7,10,2047,2028.314614575875,28.31461457587511,15030
RS-EAO,7,10,2048,2032.3728611496533,32.37286114965332,15030
RS-EAO,7,10,2049,2035.6717249687592,35.671724968759236,15030
RS-EAO,7,10,2050,2033.903992416627,33.903992416627034,15030
RS-EAO,7,10,2051,2035.1946094204588,35.194609420458846,15030
RS-EAO,7,10,2052,2039.1343706743278,39.13437067432778,15030
RS-EAO,7,10,2053,2034.5152352917307,34.51523529173073,15030
RS-EAO,7,10,2054,2036.058886582636,36.05888658263598,15030
RS-EAO,7,10,2055,2031.1592617884478,31.159261788447793,15030
RS-EAO,12,10,2026,2871.642606573834,171.6426065738342,15030
RS-EAO,12,10,2027,2867.446841933109,167.44684193310923,15030
RS-EAO,12,10,2028,2866.4414181143584,166.44141811435838,15030
RS-EAO,12,10,2029,2865.470572514232,165.47057251423212,15030
RS-EAO,12,10,2030,2866.662277365097,166.662277365097,15030
RS-EAO,12,10,2031,2865.426742937485,165.42674293748496,15030
RS-EAO,12,10,2032,2870.258755976427,170.25875597642698,15030
RS-EAO,12,10,2033,2866.219008643188,166.21900864318786,15030
RS-EAO,12,10,2034,2865.479337072722,165.47933707272205,15030
RS-EAO,12,10,2035,2864.5003473479082,164.50034734790825,15030
RS-EAO,12,10,2036,2863.7699880872146,163.76998808721464,15030
RS-EAO,12,10,2037,2866.763535036282,166.76353503628206,15030
RS-EAO,12,10,2038,2868.1820769096225,168.18207690962254,15030
RS-EAO,12,10,2039,2865.4709367407313,165.4709367407313,15030
RS-EAO,12,10,2040,2867.446841931155,167.44684193115518,15030
RS-EAO,12,10,2041,2868.2592140765673,168.25921407656733,15030
RS-EAO,12,10,2042,2864.4866081524674,164.4866081524674,15030
RS-EAO,12,10,2043,2866.4185271372985,166.4185271372985,15030
RS-EAO,12,10,2044,2864.5111489236056,164.51114892360556,15030
